date,instrument,primary_signal,hmm_predicted_regime,hmm_regime_confidence,hmm_regime_prob_0,hmm_regime_prob_1,hmm_regime_prob_2,hmm_regime_prob_3
2020-05-20,fesx1s,1,1.0,0.989622724051376,0.0016733877516709,0.989622724051376,0.0087038881964324,3.644682164635406e-20
2020-05-20,gc1s,-1,3.0,0.9541996466490266,0.0001060307810312,0.007119363301957,0.0385749592659232,0.9541996466490266
2020-05-20,hg1s,-1,2.0,0.9987535995639564,0.0004384628269411,0.0003785530127489,0.9987535995639564,0.0004293845960062
2020-05-20,ho1s,-1,0.0,0.8442091605727268,0.8442091605727268,2.097545182902436e-19,9.598943964702056e-06,0.1557812404851611
2020-05-20,ng1s,-1,3.0,0.9999993674066172,6.325842301564465e-07,8.650796894863207e-12,3.3125915043875205e-20,0.9999993674066172
2020-05-20,nq1s,-1,1.0,0.9994116123018087,0.0002683501267712,0.9994116123018087,0.0003200296026516,7.968803836181823e-09
2020-05-20,pl1s,0,0.0,1.0,1.0,9.973381137919622e-50,1.4665042043773347e-34,7.432305475757635e-40
2020-05-20,rb1s,-1,1.0,0.9997168796791446,5.20446329618852e-10,0.9997168796791446,0.0002830963160897,2.348301785798966e-08
2020-05-20,si1s,1,3.0,0.9066911237560318,0.0092030271145816,0.0834384201153613,0.0006674290110434,0.9066911237560318
2020-05-21,cl1s,0,0.0,0.9154841994263424,0.9154841994263424,9.1126172442266e-20,6.14606130095496e-67,0.0845158005722391
2020-05-21,es1s,-1,1.0,0.9955141958290872,0.00412324202253,0.9955141958290872,0.0003625619813618,1.6782577255862331e-10
2020-05-21,fesx1s,1,1.0,0.8893205534109907,0.0104164989251463,0.8893205534109907,0.1002629476640527,3.709476715461813e-15
2020-05-21,gc1s,-1,1.0,0.8592102221501183,0.1403053813700006,0.8592102221501183,2.167288649700534e-17,0.000484396480936
2020-05-21,hg1s,-1,0.0,0.6204280731915248,0.6204280731915248,0.0003631900301914,0.3788559834740003,0.0003527533035333
2020-05-21,ho1s,0,2.0,1.0,7.026613748536573e-39,1.4141627593723132e-54,1.0,3.3083909997929345e-39
2020-05-21,ng1s,-1,3.0,1.0,1.3167123461520811e-250,0.0,1.21191687159728e-309,1.0
2020-05-21,nq1s,1,1.0,0.999549804222527,7.738483342929268e-05,0.999549804222527,0.0003686557768157,4.1551676215940486e-06
2020-05-21,pl1s,0,0.0,1.0,1.0,1.0330400028203928e-125,1.2112698190372725e-89,5.0843610616671045e-195
2020-05-21,rb1s,-1,2.0,1.0,3.008960033262654e-110,8.00085521302516e-92,1.0,2.6074986179324034e-101
2020-05-21,si1s,1,0.0,0.9999999717620088,0.9999999717620088,5.796584376102919e-16,2.8237562785196475e-08,2.2566723082080783e-28
2020-05-22,cl1s,0,0.0,0.9999982305323296,0.9999982305323296,7.231374371076975e-27,6.903576436025179e-92,1.769466581026769e-06
