date,instrument,primary_signal,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,hmm_regime_confidence,daily_return,realized_vol_20d
2020-12-31,rb1s,1,3.0,normal_vol,strong_upside,calm_positive,0.8651986876777072,0.006279882515481283,0.015255769700651576
2020-12-31,si1s,1,1.0,low_vol,positive,calm_positive,0.9828350141907336,-0.00605878104291635,0.018279280761878708
2021-01-04,cl1s,1,1.0,normal_vol,positive,calm_positive,0.5233102633379622,-0.0185490520023337,0.014302595759205372
2021-01-04,es1s,1,2.0,normal_vol,positive,calm_positive,0.4685143741735052,-0.015084827144512314,0.006410597962965313
2021-01-04,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9412269890518414,0.00028169014052159547,0.00905528691239378
2021-01-04,gc1s,1,3.0,high_vol,strong_upside,upside_breakout,0.8344340106851428,0.027175346954232404,0.009711480570042822
2021-01-04,hg1s,1,2.0,normal_vol,weak,calm_negative,0.7534369906588477,0.010088091960163359,0.009394216975517468
2021-01-04,ho1s,1,0.0,extreme_vol,downside,stress,0.9942611679999354,-0.014824797379371368,0.012236001156852885
2021-01-04,ng1s,0,1.0,high_vol,downside,stress,0.9985290528297572,0.016540419558706665,0.03655515730100294
2021-01-04,nq1s,1,2.0,normal_vol,positive,calm_positive,0.794865910516157,-0.015521322417133221,0.00788062016224273
2021-01-04,pl1s,1,0.0,extreme_vol,positive,upside_breakout,1.0,-0.007134914753032073,0.015310038656839322
2021-01-04,rb1s,1,1.0,extreme_vol,weak,stress,0.9986742643631226,-0.02638110769625357,0.016705589653383257
2021-01-04,si1s,-1,0.0,extreme_vol,downside,stress,0.555494481597837,0.03604422216715597,0.019551159782210722
2021-01-05,cl1s,1,3.0,high_vol,strong_upside,upside_breakout,0.9999936571895136,0.04850903011426966,0.017550231931401865
2021-01-05,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.655744492212585,0.00704177669463224,0.006277173428025054
2021-01-05,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9951703631123378,-0.00675865953253707,0.00916908486429167
2021-01-05,gc1s,0,3.0,high_vol,strong_upside,upside_breakout,0.9850472181210582,0.004006986544647262,0.009680366549136904
2021-01-05,hg1s,-1,2.0,normal_vol,weak,calm_negative,0.9961266435333044,0.02391335044620191,0.010554985330662509
2021-01-05,ho1s,0,3.0,high_vol,strong_upside,upside_breakout,0.9999525328664366,0.03891929096391156,0.014697633216848196
2021-01-05,ng1s,0,1.0,high_vol,downside,stress,0.994976497824056,0.04688573828492881,0.037505907562643354
2021-01-05,nq1s,1,3.0,low_vol,strong_upside,calm_positive,0.9670999327667054,0.008513657325571744,0.008011971400493907
2021-01-05,pl1s,1,0.0,extreme_vol,positive,upside_breakout,1.0,0.04489034065171049,0.016770884258256038
2021-01-05,rb1s,1,1.0,extreme_vol,weak,stress,0.9999962359432076,0.057688104149528296,0.020509759602674735
2021-01-05,si1s,-1,3.0,high_vol,strong_upside,upside_breakout,0.9839162969739298,0.010086244463068272,0.0195630889601013
2021-01-06,cl1s,1,2.0,low_vol,weak,calm_negative,0.8981191778443766,0.014019627369817655,0.01734080009594946
2021-01-06,es1s,1,1.0,high_vol,weak,stress,0.9311164364758672,0.005983997847430533,0.006371851974645555
2021-01-06,fesx1s,-1,2.0,high_vol,strong_upside,upside_breakout,0.9576342556627996,0.02239863906974171,0.010402232693708127
2021-01-06,gc1s,0,0.0,extreme_vol,downside,stress,0.9169160563035562,-0.023434302096388193,0.010977666047783078
2021-01-06,hg1s,-1,0.0,low_vol,positive,calm_positive,0.7555235213913545,0.0030223916307121623,0.010517565252099693
2021-01-06,ho1s,0,1.0,low_vol,weak,calm_negative,0.9910695296335276,0.006452037841945035,0.014619105108567067
